"raceId","driverId","startingPosition","racePosition","year","raceIdOrdered","yearStarted","qualiResultPosition","q1Msec","q2Msec","q3Msec","maxPace","meanPace","driverExpYears","grid_penalty","is_top_5","dob","nationality","url","driverName","round","racename","date","race_url","avg_lap_milliseconds","total_stops","average_stop_duration_in_seconds"
989,1,1,2,2018,977,2007,1,82824,82051,81164,82824,82013,11,0,"TRUE","1985-01-07","British","http://en.wikipedia.org/wiki/Lewis_Hamilton","Lewis Hamilton",1,"Australian Grand Prix 2018","2018-03-25","http://en.wikipedia.org/wiki/2018_Australian_Grand_Prix",92729.6379310345,1,21.821
989,4,10,5,2018,977,2001,11,83597,83692,0,83692,83644.5,17,1,"TRUE","1981-07-29","Spanish","http://en.wikipedia.org/wiki/Fernando_Alonso","Fernando Alonso",1,"Australian Grand Prix 2018","2018-03-25","http://en.wikipedia.org/wiki/2018_Australian_Grand_Prix",93123.6034482759,1,22.573
989,8,2,3,2018,977,2001,2,83096,82507,81828,83096,82477,17,0,"TRUE","1979-10-17","Finnish","http://en.wikipedia.org/wiki/Kimi_R%C3%A4ikk%C3%B6nen","Kimi Räikkönen",1,"Australian Grand Prix 2018","2018-03-25","http://en.wikipedia.org/wiki/2018_Australian_Grand_Prix",92751.5862068966,1,21.421
989,20,3,1,2018,977,2007,3,83348,81944,81838,83348,82376.6666666667,11,0,"TRUE","1987-07-03","German","http://en.wikipedia.org/wiki/Sebastian_Vettel","Sebastian Vettel",1,"Australian Grand Prix 2018","2018-03-25","http://en.wikipedia.org/wiki/2018_Australian_Grand_Prix",92642.8103448276,1,21.787
989,154,6,16,2018,977,2009,7,83671,83468,83339,83671,83492.6666666667,9,1,"FALSE","1986-04-17","French","http://en.wikipedia.org/wiki/Romain_Grosjean","Romain Grosjean",1,"Australian Grand Prix 2018","2018-03-25","http://en.wikipedia.org/wiki/2018_Australian_Grand_Prix",91369.9166666667,1,23.054
989,807,7,7,2018,977,2010,8,83782,83544,83532,83782,83619.3333333333,8,1,"FALSE","1987-08-19","German","http://en.wikipedia.org/wiki/Nico_H%C3%BClkenberg","Nico Hülkenberg",1,"Australian Grand Prix 2018","2018-03-25","http://en.wikipedia.org/wiki/2018_Australian_Grand_Prix",93206.1034482759,1,22.628
989,815,12,11,2018,977,2011,13,84344,84005,0,84344,84174.5,7,1,"FALSE","1990-01-26","Mexican","http://en.wikipedia.org/wiki/Sergio_P%C3%A9rez","Sergio Pérez",1,"Australian Grand Prix 2018","2018-03-25","http://en.wikipedia.org/wiki/2018_Australian_Grand_Prix",93450,1,22.327
989,817,8,4,2018,977,2011,5,83494,82897,82152,83494,82847.6666666667,7,1,"TRUE","1989-07-01","Australian","http://en.wikipedia.org/wiki/Daniel_Ricciardo","Daniel Ricciardo",1,"Australian Grand Prix 2018","2018-03-25","http://en.wikipedia.org/wiki/2018_Australian_Grand_Prix",92764.6896551724,1,21.44
989,822,15,8,2018,977,2013,10,83686,82089,0,83686,82887.5,5,1,"FALSE","1989-08-28","Finnish","http://en.wikipedia.org/wiki/Valtteri_Bottas","Valtteri Bottas",1,"Australian Grand Prix 2018","2018-03-25","http://en.wikipedia.org/wiki/2018_Australian_Grand_Prix",93234.8620689655,1,21.664
989,825,5,17,2018,977,2014,6,83909,83300,83187,83909,83465.3333333333,4,1,"FALSE","1992-10-05","Danish","http://en.wikipedia.org/wiki/Kevin_Magnussen","Kevin Magnussen",1,"Australian Grand Prix 2018","2018-03-25","http://en.wikipedia.org/wiki/2018_Australian_Grand_Prix",91430.3181818182,1,21.983
989,828,17,19,2018,977,2014,17,84556,0,0,84556,84556,4,0,"FALSE","1990-09-02","Swedish","http://en.wikipedia.org/wiki/Marcus_Ericsson","Marcus Ericsson",1,"Australian Grand Prix 2018","2018-03-25","http://en.wikipedia.org/wiki/2018_Australian_Grand_Prix",95019.2,0,0
989,830,4,6,2018,977,2015,4,83483,82416,81879,83483,82592.6666666667,3,0,"FALSE","1997-09-30","Dutch","http://en.wikipedia.org/wiki/Max_Verstappen","Max Verstappen",1,"Australian Grand Prix 2018","2018-03-25","http://en.wikipedia.org/wiki/2018_Australian_Grand_Prix",93141.8620689655,1,20.953
989,832,9,10,2018,977,2015,9,83529,83061,83577,83577,83389,3,0,"FALSE","1994-09-01","Spanish","http://en.wikipedia.org/wiki/Carlos_Sainz_Jr.","Carlos Sainz",1,"Australian Grand Prix 2018","2018-03-25","http://en.wikipedia.org/wiki/2018_Australian_Grand_Prix",93431.1206896552,1,23.868
989,838,11,9,2018,977,2016,12,84073,83853,0,84073,83963,2,1,"FALSE","1992-03-26","Belgian","http://en.wikipedia.org/wiki/Stoffel_Vandoorne","Stoffel Vandoorne",1,"Australian Grand Prix 2018","2018-03-25","http://en.wikipedia.org/wiki/2018_Australian_Grand_Prix",93244.8965517241,1,22.474
989,839,14,12,2018,977,2016,15,84503,84786,0,84786,84644.5,2,1,"FALSE","1996-09-17","French","http://en.wikipedia.org/wiki/Esteban_Ocon","Esteban Ocon",1,"Australian Grand Prix 2018","2018-03-25","http://en.wikipedia.org/wiki/2018_Australian_Grand_Prix",93682.0862068966,1,21.854
989,840,13,14,2018,977,2017,14,84464,84230,0,84464,84347,1,1,"FALSE","1998-10-29","Canadian","http://en.wikipedia.org/wiki/Lance_Stroll","Lance Stroll",1,"Australian Grand Prix 2018","2018-03-25","http://en.wikipedia.org/wiki/2018_Australian_Grand_Prix",93992.6034482759,2,23.4505
989,842,20,18,2018,977,2017,20,85295,0,0,85295,85295,1,0,"FALSE","1996-02-07","French","http://en.wikipedia.org/wiki/Pierre_Gasly","Pierre Gasly",1,"Australian Grand Prix 2018","2018-03-25","http://en.wikipedia.org/wiki/2018_Australian_Grand_Prix",93188.5384615385,0,0
989,843,16,15,2018,977,2017,16,84532,0,0,84532,84532,1,0,"FALSE","1989-11-10","New Zealander","http://en.wikipedia.org/wiki/Brendon_Hartley","Brendon Hartley",1,"Australian Grand Prix 2018","2018-03-25","http://en.wikipedia.org/wiki/2018_Australian_Grand_Prix",94662.4385964912,2,22.2545
989,844,18,13,2018,977,2018,18,84636,0,0,84636,84636,0,0,"FALSE","1997-10-16","Monegasque","http://en.wikipedia.org/wiki/Charles_Leclerc","Charles Leclerc",1,"Australian Grand Prix 2018","2018-03-25","http://en.wikipedia.org/wiki/2018_Australian_Grand_Prix",93949,2,22.539
989,845,19,20,2018,977,2018,19,84922,0,0,84922,84922,0,0,"FALSE","1995-08-27","Russian","http://en.wikipedia.org/wiki/Sergey_Sirotkin_(racing_driver)","Sergey Sirotkin",1,"Australian Grand Prix 2018","2018-03-25","http://en.wikipedia.org/wiki/2018_Australian_Grand_Prix",96536.75,0,0
